Website,Logo_URL
https://www.championsgym.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfvRkONAOzgIW1b8_h95VwNmSnm6nxuxt7FQ&s
https://www.karmayogadubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwtpVlf_CmiMjz_f5h8TWy6kB8mqQUacEJCw&s
https://zoga.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2Au_n_CH0JCj2apL0Ge0s8QieksNSmauFGA&s
https://www.yogalaviedubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8XKaJNRmD8rf981afvxyzFuffX7cN5ix_ZQ&s
https://www.dhyanadubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwcOXptlf4EtXQYlm47EghwC9Uw9L60q7i1A&s
https://www.jalyoga.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCpET9OE9b5FS8aqWvp14nyNzcF5odn2GNwg&s
https://www.yogaashram.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxIZZ2plSPwgr41_lt1sF6r0iGOewrYE9XuQ&s
https://www.shimis.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/d3/4c/30/shimiss.jpg
https://www.ecoyogasanctuary.com,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6c/27/10/getlstd-property-photo.jpg?w=1200&h=-1&s=1
https://www.urbanyoga.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcaj-mN__IIyDf7jfWqOZnIFFqh6PmQsatFw&s
https://www.zenyoga.ae,https://pbs.twimg.com/profile_images/475639759054725120/7rfrmtwR_400x400.jpeg
https://www.inspireyoga.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSksRXBgnmih6klDCnwWu3tPHRDQuV6mnVyHw&s
https://www.samadhi-wellness.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKij439t8rOeZAoiw1J2L6M6o-c3rQPwLmRw&s
https://www.peaceyogadubai.org,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKbbDjVNxHbh5yl28JfjDCx95gJa35c4ON2w&s
https://www.1000petaledlotusyoga.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRc3NOSTUDUvCTjnYfL884FEM5w9tl7eK945w&s
https://www.sourcebodylanguage.com,https://cdn.slidesharecdn.com/ss_thumbnails/introbuschpt5powerpoint-140909183500-phpapp01-thumbnail.jpg?width=640&height=640&fit=bounds
https://www.myalkalineyoga.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyPCF1JKEo0JdJn5Prs6tLoN8fln2kAXszjA&s
https://www.voyoga.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8ao5LqjnvN6DVppLu6RZokJXsVhU4vigJoA&s
https://www.friendsofyogaglobal.org,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP3xDUAbPQycx4mNWheiMKg063h9SMtx1BAQ&s
https://www.tomandserg.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSft27LvcApPwrg5cVdS3DiCw2kGJQYjooYfA&s
https://www.theespressolab.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuTvKuydzniRQ2GLEtx_ih4J9BX9P5dQZ5ug&s
https://www.nightjar.coffee,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMJw8z7nt6JOPpZLLL4xvrjnGf1-cZzXilXw&s
https://www.commongrounds.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVx4A_PPU9ydNgrCp7zfPP8QKOk7Ycz69x9g&s
https://www.rawcoffeecompany.com,https://rawcoffeecompany.com/cdn/shop/files/RAW_Logos_2022_ALL_OutlinedFile_RGB_RAWCoffee_BB.png?v=1666947169
https://www.mokha1450.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbRccyGbSQnFr3RVclBBU4vLw2pmRoV8_rIQ&s
https://www.sevenfortunes.com,https://www.sevenfortunes.com/wp-content/uploads/2019/08/Logo_500.png
https://www.thehundred.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1gD45hG1X78iOsZ7mNhfRWRu5Z6V0MdRpyA&s
https://www.nette.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbLyYaPzIllH4faaIuNxQ2PlFwUNRknx7zhw&s
https://www.secretgardenivy.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToyeMqNImiGUR9jbY5VBgZ8cL9nbSRvaOj0w&s
https://www.jonesthegrocer.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlFa-DK6SB8fgrFI7_S2yWx9DPljYaQ0Uamg&s
https://www.karakhouse.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwSK5nmnFy8enFdvRMHZPjf4wbR1tOWCaMGA&s
https://www.brewcafedubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBnSaYUpljm8VTR5bSUU-ENMsIwU-A2EUpuw&s
https://www.thecoffeeclub.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSv2WSLB64TUEy6oFUTzGeIlrmGP_5nFiN3Yw&s
https://www.twgtea.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9QR2zYH_eJgapo2j87wKc9RZHQZj6ZX0gJg&s
https://www.thejuicehouse.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAj3oylqiqyBHA7jA7xCimFjNb4GyVREsTdg&s
https://www.caferider.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfn9dn5bqekMz8Gc8fzz4ZJAjvLo3uRzyrng&s
https://www.talabat.com,https://www.talabat.com/assets/images/Tlogo-500.png
https://www.zomato.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBUd1dFk9caAESpeGiEJ9gHlrFSZBFaJxJaw&s
https://www.deliveroo.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSorpXVuWTnLjzGP0pWQ8IyUY1rTXuhznhdCw&s
https://www.kinoya.ae,https://llcbuddy.com/wp-content/uploads/LLCBuddy-logo-1.png
https://www.lilataqueria.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStGWoESZAADAD3nRRGGWq5KhGDMU9sa42AoQ&s
https://www.cassette.ae,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIsMOnfBHTfWzX_OELnI8PpJDVhNhrbuPQfw&s
https://www.socialhousedubai.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC5wrQlT5vaZ268pQPIXH6mvfeItyBylMhlw&s
https://www.streeteryfoodhall.com,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6hoMBTPBR0qqNZxZAEQC5VQQXu1lAwRCoYA&s
